class,method,descriptor,tier,total_issues,orig_insns,recomp_insns,insn_diff,issue_breakdown,n_branch_inv,n_branch_target,n_const_ref,n_goto_swap,n_opcode,n_orig_extra,n_recomp_extra,n_return_swap,n_var_slot
zombie/util/AddCoopPlayer$1,<clinit>,()V,SORTED_MULTISET,0,59,59,0,,,,,,,,,,
zombie/core/Languages,loadTranslateDirectory,(Ljava/lang/String;)V,STRUCTURAL,1,106,107,1,branch_target:1,,1,,,,,,,
zombie/network/PlayerDownloadServer$WorkerThread,sendArray,(Lzombie/network/ClientChunkRequest;)V,SORTED_MULTISET,1,252,252,0,branch_target:1,,1,,,,,,,
zombie/radio/RadioXmlReader,readTranslatorNames,(Ljava/lang/String;)Ljava/util/ArrayList;,SORTED_MULTISET,1,80,81,1,branch_target:1,,1,,,,,,,
zombie/characters/ZombiesZoneDefinition,init,()V,STRUCTURAL,2,37,38,1,branch_target:2,,2,,,,,,,
zombie/characters/ZombiesZoneDefinition,initZone,(Ljava/lang/String;Lse/krka/kahlua/j2se/KahluaTableImpl;)Lzombie/characters/ZombiesZoneDefinition$ZZDZone;,STRUCTURAL,2,52,53,1,branch_target:2,,2,,,,,,,
zombie/chat/ChatUtility,parseStringForChatBubble,(Ljava/lang/String;)Ljava/lang/String;,SORTED_MULTISET,2,176,176,0,branch_target:2,,2,,,,,,,
zombie/core/Languages,init,()V,STRUCTURAL,2,48,49,1,branch_target:2,,2,,,,,,,
zombie/core/skinnedmodel/population/Outfit,findHat,()Lzombie/core/skinnedmodel/population/ClothingItemReference;,STRUCTURAL,2,21,22,1,branch_target:2,,2,,,,,,,
zombie/gameStates/ConnectToServerState$WorkshopItem,DownloadPending,()V,STRUCTURAL,2,58,57,-1,branch_target:1; orig_extra:1,,1,,,,1,,,
zombie/network/GameServerWorkshopItems$WorkshopItem,DownloadPending,()V,STRUCTURAL,2,46,45,-1,branch_target:1; orig_extra:1,,1,,,,1,,,
zombie/network/PlayerDownloadServer$WorkerThread,putCommand,(Lzombie/network/PlayerDownloadServer$EThreadCommand;Lzombie/network/ClientChunkRequest;)V,SORTED_MULTISET,2,16,15,-1,goto_swap:1; orig_extra:1,,,,1,,1,,,
zombie/AmbientStreamManager,update,()V,SORTED_MULTISET,3,488,488,0,branch_target:3,,3,,,,,,,
zombie/characters/skills/CustomPerks,parse,(Ljava/lang/String;)V,STRUCTURAL,3,64,64,0,const_ref:2; branch_target:1,,1,2,,,,,,
zombie/iso/IsoPuddles$PuddlesFloat,calculate,()V,STRUCTURAL,3,9,10,1,branch_target:1; goto_swap:1; recomp_extra:1,,1,,1,,,1,,
zombie/sandbox/CustomSandboxOptions,parse,(Ljava/lang/String;)V,STRUCTURAL,3,64,64,0,const_ref:2; branch_target:1,,1,2,,,,,,
zombie/vehicles/BaseVehicle,setActiveInBullet,(Z)V,STRUCTURAL,3,6,6,0,branch_target:1; const_ref:1; branch_inv:1,1,1,1,,,,,,
zombie/audio/ObjectAmbientEmitters$WindowLogic,checkParameters,(Lzombie/audio/BaseSoundEmitter;J)V,STRUCTURAL,4,20,20,0,opcode:2; branch_target:1; branch_inv:1,1,1,,,2,,,,
zombie/core/znet/SteamUtils,clientInitiateConnectionCallback,(J)I,STRUCTURAL,4,21,21,0,opcode:2; branch_target:1; branch_inv:1,1,1,,,2,,,,
zombie/fileSystem/DiskFileDevice$DiskFile,seek,(Lzombie/fileSystem/FileSeekMode;J)Z,SORTED_MULTISET,4,42,42,0,var_slot:2; opcode:2,,,,,2,,,,2
zombie/inventory/ItemPickerJava,ParseSuburbsDistributions,()V,STRUCTURAL,4,109,109,0,branch_target:4,,4,,,,,,,
zombie/network/GameServerWorkshopItems$WorkshopItem,update,()V,STRUCTURAL,4,13,12,-1,opcode:1; branch_target:1; goto_swap:1; orig_extra:1,,1,,1,1,1,,,
zombie/MapGroups,getMapConflicts,(Ljava/lang/String;)Ljava/util/ArrayList;,STRUCTURAL,5,21,22,1,branch_target:2; goto_swap:1; return_swap:1; recomp_extra:1,,2,,1,,,1,1,
zombie/core/skinnedmodel/animation/debug/GenericNameWeightRecordingFrame,getOrCreateColumn,(Ljava/lang/String;I)I,STRUCTURAL,5,68,68,0,goto_swap:3; return_swap:1; orig_extra:1,,,,3,,1,,1,
zombie/gameStates/ConnectToServerState,WorkshopQuery,()V,STRUCTURAL,5,71,72,1,branch_target:2; goto_swap:2; recomp_extra:1,,2,,2,,,1,,
zombie/gameStates/ConnectToServerState,FromLua,(Ljava/lang/String;)V,STRUCTURAL,5,54,53,-1,branch_target:3; goto_swap:1; orig_extra:1,,3,,1,,1,,,
zombie/gameStates/ConnectToServerState$WorkshopItem,update,()V,STRUCTURAL,5,16,15,-1,branch_target:2; opcode:1; goto_swap:1; orig_extra:1,,2,,1,1,1,,,
zombie/inventory/RecipeManager,hasHeat,(Lzombie/scripting/objects/Recipe;Lzombie/inventory/InventoryItem;Ljava/util/ArrayList;Lzombie/characters/IsoGameCharacter;)Z,STRUCTURAL,5,77,73,-4,goto_swap:2; branch_inv:1; var_slot:1; branch_target:1,1,1,,2,,,,,1
zombie/util/list/PZArrayUtil,contains,(Ljava/util/Collection;Ljava/util/function/Predicate;)Z,STRUCTURAL,5,37,33,-4,goto_swap:2; branch_inv:1; var_slot:1; branch_target:1,1,1,,2,,,,,1
zombie/util/list/PZArrayUtil,contains,(Ljava/lang/Iterable;Ljava/util/function/Predicate;)Z,STRUCTURAL,5,42,38,-4,goto_swap:2; branch_inv:1; var_slot:1; branch_target:1,1,1,,2,,,,,1
zombie/characters/NetworkTeleport,update,(Lzombie/characters/IsoGameCharacter;Lzombie/network/packets/PlayerPacket;)V,STRUCTURAL,6,84,85,1,branch_target:3; goto_swap:2; recomp_extra:1,,3,,2,,,1,,
zombie/core/znet/SteamUtils,isValidSteamID,(Ljava/lang/String;)Z,SORTED_MULTISET,6,19,17,-2,return_swap:3; goto_swap:1; opcode:1; orig_extra:1,,,,1,1,1,,3,
zombie/iso/objects/IsoDeadBody,updateBodies,()V,STRUCTURAL,6,116,117,1,const_ref:3; branch_target:3,,3,3,,,,,,
zombie/network/ServerChunkLoader$SaveChunkThread,run,()V,SORTED_MULTISET,6,51,49,-2,opcode:3; goto_swap:2; branch_inv:1,1,,,2,3,,,,
zombie/randomizedWorld/randomizedZoneStory/RandomizedZoneStoryBase,isValidForStory,(Lzombie/iso/IsoMetaGrid$Zone;Z)Z,STRUCTURAL,6,54,52,-2,return_swap:3; branch_target:1; goto_swap:1; orig_extra:1,,1,,1,,1,,3,
zombie/ui/TextDrawObject,tryColorInt,(Ljava/lang/String;)I,SORTED_MULTISET,6,24,22,-2,return_swap:3; goto_swap:1; opcode:1; orig_extra:1,,,,1,1,1,,3,
zombie/GameSounds,loadNonBankSounds,()V,STRUCTURAL,7,24,24,0,branch_target:5; goto_swap:1; orig_extra:1,,5,,1,,1,,,
zombie/characters/NetworkZombieVariables,setInt,(Lzombie/characters/IsoZombie;SI)V,STRUCTURAL,7,63,62,-1,branch_target:5; goto_swap:1; orig_extra:1,,5,,1,,1,,,
zombie/core/utils/HashMap$Bucket,put,(Ljava/lang/Object;Ljava/lang/Object;)V,STRUCTURAL,7,74,75,1,branch_target:5; goto_swap:1; recomp_extra:1,,5,,1,,,1,,
zombie/iso/areas/IsoRoom,useWater,()V,STRUCTURAL,7,22,21,-1,opcode:3; goto_swap:2; branch_inv:1; branch_target:1,1,1,,2,3,,,,
zombie/iso/objects/ObjectRenderEffects,alloc,()Lzombie/iso/objects/ObjectRenderEffects;,STRUCTURAL,7,10,10,0,const_ref:4; orig_extra:2; return_swap:1,,,4,,,2,,1,
zombie/network/packets/StopSoundPacket,process,()V,STRUCTURAL,7,43,42,-1,branch_target:5; goto_swap:1; orig_extra:1,,5,,1,,1,,,
zombie/core/skinnedmodel/animation/debug/GenericNameWeightRecordingFrame,logWeight,(Ljava/lang/String;IF)V,SORTED_MULTISET,8,15,16,1,opcode:4; recomp_extra:2; var_slot:1; return_swap:1,,,,,4,,2,1,1
zombie/core/textures/PNGDecoder,readtRNS,()V,STRUCTURAL,8,64,63,-1,const_ref:3; branch_target:2; opcode:1; goto_swap:1; orig_extra:1,,2,3,1,1,1,,,
zombie/iso/weather/WeatherPeriod,RandNext,(II)I,STRUCTURAL,8,21,21,0,var_slot:4; opcode:2; return_swap:2,,,,,2,,,2,4
zombie/randomizedWorld/randomizedBuilding/RBTableStory,getItemFromSSI,(Lzombie/randomizedWorld/randomizedBuilding/RBTableStory$StorySpawnItem;)Ljava/lang/String;,STRUCTURAL,8,50,48,-2,return_swap:3; branch_target:2; goto_swap:1; opcode:1; orig_extra:1,,2,,1,1,1,,3,
zombie/text/templating/TemplateText,RandNext,(II)I,STRUCTURAL,8,20,20,0,var_slot:4; opcode:2; return_swap:2,,,,,2,,,2,4
zombie/core/Collections/ZomboidAbstractMap,equals,(Ljava/lang/Object;)Z,STRUCTURAL,9,58,56,-2,return_swap:5; opcode:2; goto_swap:1; orig_extra:1,,,,1,2,1,,5,
zombie/core/Collections/ZomboidHashMap,transfer,([Lzombie/core/Collections/ZomboidHashMap$Entry;)V,STRUCTURAL,9,43,46,3,branch_target:4; recomp_extra:2; const_ref:1; goto_swap:1; return_swap:1,,4,1,1,,,2,1,
zombie/core/logger/ExceptionLogger,logException,(Ljava/lang/Throwable;Ljava/lang/String;Lzombie/debug/DebugLogStream;Lzombie/debug/LogSeverity;)V,SORTED_MULTISET,9,50,50,0,opcode:4; return_swap:2; branch_inv:1; branch_target:1; goto_swap:1,1,1,,1,4,,,2,
zombie/core/skinnedmodel/model/ModelInstanceTextureCreator,init,(Lzombie/core/skinnedmodel/visual/BaseVisual;Lzombie/core/skinnedmodel/visual/ItemVisuals;Lzombie/core/skinnedmodel/model/ModelInstance;)V,STRUCTURAL,9,15,16,1,const_ref:6; branch_target:1; goto_swap:1; recomp_extra:1,,1,6,1,,,1,,
zombie/iso/IsoGridSquare,toBoolean,([B)Z,STRUCTURAL,9,11,11,0,opcode:4; goto_swap:2; branch_target:1; branch_inv:1; var_slot:1,1,1,,2,4,,,,1
zombie/iso/areas/isoregion/data/DataChunk,squareAddFlags,(IB)V,SORTED_MULTISET,9,10,11,1,opcode:5; recomp_extra:2; var_slot:1; return_swap:1,,,,,5,,2,1,1
zombie/iso/areas/isoregion/data/DataChunk,squareRemoveFlags,(IB)V,SORTED_MULTISET,9,10,11,1,opcode:5; recomp_extra:2; var_slot:1; return_swap:1,,,,,5,,2,1,1
zombie/vehicles/BaseVehicle,setLightbarLightsMode,(I)V,STRUCTURAL,9,14,15,1,const_ref:5; branch_target:1; opcode:1; goto_swap:1; recomp_extra:1,,1,5,1,1,,1,,
zombie/vehicles/PathFindBehavior2,pathToVehicleSeat,(Lzombie/vehicles/BaseVehicle;I)V,STRUCTURAL,9,295,295,0,branch_target:7; goto_swap:2,,7,,2,,,,,
zombie/vehicles/SurroundVehicle,update,()V,STRUCTURAL,9,137,136,-1,branch_target:5; goto_swap:3; orig_extra:1,,5,,3,,1,,,
zombie/AmbientStreamManager,getListenerPos,(Lorg/joml/Vector2f;)V,STRUCTURAL,10,46,46,0,branch_target:4; const_ref:4; var_slot:2,,4,4,,,,,,2
zombie/Lua/LuaManager$GlobalObject,createStory,(Ljava/lang/String;)V,STRUCTURAL,10,37,37,0,const_ref:5; branch_target:3; var_slot:2,,3,5,,,,,,2
zombie/ZomboidFileSystem,loadModPackFiles,()V,STRUCTURAL,10,66,66,0,const_ref:9; branch_target:1,,1,9,,,,,,
zombie/config/ConfigFile,write,(Ljava/lang/String;ILjava/util/ArrayList;)Z,STRUCTURAL,10,84,82,-2,return_swap:3; const_ref:2; opcode:2; goto_swap:1; var_slot:1; orig_extra:1,,,2,1,2,1,,3,1
zombie/core/raknet/VoiceManager,checkForNearbyRadios,(Lzombie/core/raknet/VoiceManagerData;)Lzombie/core/raknet/VoiceManagerData$RadioData;,SORTED_MULTISET,10,226,224,-2,opcode:4; var_slot:3; goto_swap:1; return_swap:1; orig_extra:1,,,,1,4,1,,1,3
zombie/core/skinnedmodel/HelperFunctions,returnVector3f,(Lorg/lwjgl/util/vector/Vector3f;)V,STRUCTURAL,10,14,14,0,opcode:6; goto_swap:2; branch_inv:1; return_swap:1,1,,,2,6,,,1,
zombie/core/textures/TextureFBO,setTexture,(Lzombie/core/textures/Texture;)V,SORTED_MULTISET,10,17,21,4,opcode:4; const_ref:2; recomp_extra:2; var_slot:1; return_swap:1,,,2,,4,,2,1,1
zombie/iso/weather/WeatherPeriod,RandNext,(FF)F,STRUCTURAL,10,24,24,0,var_slot:4; opcode:4; return_swap:2,,,,,4,,,2,4
zombie/network/CoopMaster,getMessage,()Ljava/lang/String;,SORTED_MULTISET,10,38,36,-2,var_slot:4; opcode:3; goto_swap:1; return_swap:1; orig_extra:1,,,,1,3,1,,1,4
zombie/network/DiscordBot,setChannelByID,(Ljava/lang/String;)V,STRUCTURAL,10,31,29,-2,var_slot:3; opcode:3; goto_swap:2; branch_inv:1; branch_target:1,1,1,,2,3,,,,3
zombie/network/ServerLOS$LOSThread,shouldWait,()Z,SORTED_MULTISET,10,49,47,-2,opcode:4; var_slot:3; goto_swap:1; return_swap:1; orig_extra:1,,,,1,4,1,,1,3
zombie/text/templating/TemplateText,RandNext,(FF)F,STRUCTURAL,10,23,23,0,var_slot:4; opcode:4; return_swap:2,,,,,4,,,2,4
zombie/Lua/LuaManager$GlobalObject,require,(Ljava/lang/String;)Ljava/lang/Object;,STRUCTURAL,11,37,39,2,const_ref:9; var_slot:2,,,9,,,,,,2
zombie/core/Collections/NonBlockingHashMap$SnapshotV,<init>,(Lzombie/core/Collections/NonBlockingHashMap;)V,STRUCTURAL,11,24,23,-1,goto_swap:3; var_slot:3; opcode:2; branch_target:1; return_swap:1; orig_extra:1,,1,,3,2,1,,1,3
zombie/core/Collections/NonBlockingHashtable$SnapshotV,<init>,(Lzombie/core/Collections/NonBlockingHashtable;)V,STRUCTURAL,11,24,23,-1,goto_swap:3; var_slot:3; opcode:2; branch_target:1; return_swap:1; orig_extra:1,,1,,3,2,1,,1,3
zombie/core/Collections/NonBlockingIdentityHashMap$SnapshotV,<init>,(Lzombie/core/Collections/NonBlockingIdentityHashMap;)V,STRUCTURAL,11,24,23,-1,goto_swap:3; var_slot:3; opcode:2; branch_target:1; return_swap:1; orig_extra:1,,1,,3,2,1,,1,3
zombie/core/input/Input,getButtonCount,(I)I,STRUCTURAL,11,11,12,1,opcode:3; recomp_extra:3; goto_swap:2; const_ref:1; branch_target:1; return_swap:1,,1,1,2,3,,3,1,
zombie/core/raknet/RakNetPeerInterface,Receive,(Ljava/nio/ByteBuffer;)Z,SORTED_MULTISET,11,32,30,-2,return_swap:5; opcode:2; branch_target:1; goto_swap:1; var_slot:1; orig_extra:1,,1,,1,2,1,,5,1
zombie/core/textures/TextureFBO,reset,()V,SORTED_MULTISET,11,10,14,4,opcode:4; const_ref:2; recomp_extra:2; branch_target:1; var_slot:1; return_swap:1,,1,2,,4,,2,1,1
zombie/core/textures/TextureID,getData,()Lzombie/core/utils/WrappedBuffer;,SORTED_MULTISET,11,24,26,2,const_ref:7; opcode:4,,,7,,4,,,,
zombie/core/znet/SteamWorkshopItem,writeWorkshopTxt,()Z,STRUCTURAL,11,117,115,-2,const_ref:3; return_swap:3; opcode:2; goto_swap:1; var_slot:1; orig_extra:1,,,3,1,2,1,,3,1
zombie/iso/sprite/IsoSpriteInstance,add,(Lzombie/iso/sprite/IsoSpriteInstance;)V,STRUCTURAL,11,17,16,-1,opcode:6; goto_swap:3; branch_inv:1; orig_extra:1,1,,,3,6,1,,,
zombie/modding/ActiveModsFile,read,(Ljava/lang/String;Lzombie/modding/ActiveMods;)Z,STRUCTURAL,11,68,66,-2,return_swap:5; opcode:3; goto_swap:1; var_slot:1; orig_extra:1,,,,1,3,1,,5,1
zombie/network/ServerChunkLoader$SaveChunkThread,addUnloadedJob,(Lzombie/iso/IsoChunk;)V,SORTED_MULTISET,11,13,14,1,opcode:6; recomp_extra:3; var_slot:1; return_swap:1,,,,,6,,3,1,1
zombie/util/list/PrimitiveFloatList,forEach,(Ljava/util/function/Consumer;)V,SORTED_MULTISET,11,7,6,-1,opcode:4; var_slot:3; orig_extra:3; return_swap:1,,,,,4,3,,1,3
zombie/core/Core,setupMultiFBO,()Z,STRUCTURAL,12,27,25,-2,const_ref:4; return_swap:3; opcode:2; goto_swap:1; var_slot:1; orig_extra:1,,,4,1,2,1,,3,1
zombie/core/opengl/ShaderProgram,findShader,(Ljava/lang/String;Lzombie/core/opengl/ShaderUnit$Type;)Lzombie/core/opengl/ShaderUnit;,SORTED_MULTISET,12,21,18,-3,const_ref:7; goto_swap:2; branch_inv:1; var_slot:1; branch_target:1,1,1,7,2,,,,,1
zombie/core/skinnedmodel/HelperFunctions,getVector3f,()Lorg/lwjgl/util/vector/Vector3f;,STRUCTURAL,12,15,15,0,opcode:6; goto_swap:2; var_slot:2; branch_inv:1; return_swap:1,1,,,2,6,,,1,2
zombie/iso/IsoGridSquare,BurnWallsTCOnly,()V,STRUCTURAL,12,17,17,0,const_ref:6; goto_swap:3; branch_target:2; orig_extra:1,,2,6,3,,1,,,
zombie/network/ServerChunkLoader$SaveChunkThread,saveLater,(Lzombie/GameTime;)V,SORTED_MULTISET,12,13,14,1,opcode:6; recomp_extra:3; const_ref:1; var_slot:1; return_swap:1,,,1,,6,,3,1,1
zombie/MapGroups$MapGroup,addDirectory,(Ljava/lang/String;Ljava/lang/String;)V,SORTED_MULTISET,13,23,24,1,var_slot:5; opcode:4; recomp_extra:3; return_swap:1,,,,,4,,3,1,5
zombie/ZomboidFileSystem,loadModTileDefs,()V,STRUCTURAL,13,78,78,0,const_ref:11; branch_target:2,,2,11,,,,,,
zombie/ZomboidFileSystem,loadModTileDefPropertyStrings,()V,STRUCTURAL,13,78,78,0,const_ref:11; branch_target:2,,2,11,,,,,,
zombie/core/Collections/NonBlockingHashMap$SnapshotE,next,()Ljava/util/Map$Entry;,SORTED_MULTISET,13,15,16,1,const_ref:5; opcode:3; recomp_extra:3; var_slot:1; return_swap:1,,,5,,3,,3,1,1
zombie/core/Collections/NonBlockingHashtable$SnapshotE,next,()Ljava/util/Map$Entry;,SORTED_MULTISET,13,15,16,1,const_ref:5; opcode:3; recomp_extra:3; var_slot:1; return_swap:1,,,5,,3,,3,1,1
zombie/core/Collections/NonBlockingIdentityHashMap$SnapshotE,next,()Ljava/util/Map$Entry;,SORTED_MULTISET,13,15,16,1,const_ref:5; opcode:3; recomp_extra:3; var_slot:1; return_swap:1,,,5,,3,,3,1,1
zombie/core/textures/MultiTextureFBO2,test,()Z,STRUCTURAL,13,20,18,-2,opcode:7; return_swap:3; goto_swap:1; var_slot:1; orig_extra:1,,,,1,7,1,,3,1
zombie/radio/RadioXmlReader,LoadTranslatorNames,(Ljava/lang/String;)Ljava/util/ArrayList;,STRUCTURAL,13,37,35,-2,var_slot:4; opcode:4; return_swap:3; orig_extra:2,,,,,4,2,,3,4
zombie/savefile/PlayerDB,loadPlayer,(ILzombie/characters/IsoPlayer;)Z,FUZZY_COMPUTATION,13,56,56,0,var_slot:5; opcode:4; return_swap:2; goto_swap:1; recomp_extra:1,,,,1,4,,1,2,5
zombie/MapGroups$MapGroup,addDirectory,(Ljava/lang/String;Ljava/lang/String;Ljava/util/ArrayList;)V,SORTED_MULTISET,14,24,25,1,var_slot:6; opcode:4; recomp_extra:3; return_swap:1,,,,,4,,3,1,6
zombie/characters/IsoZombie,addAggro,(Lzombie/iso/IsoMovingObject;F)V,SORTED_MULTISET,14,73,73,0,branch_target:9; const_ref:4; goto_swap:1,,9,4,1,,,,,
zombie/randomizedWorld/randomizedBuilding/RBBasic,addRandomDeadSurvivorStory,(Lzombie/iso/BuildingDef;)V,STRUCTURAL,14,43,42,-1,opcode:6; var_slot:3; goto_swap:2; branch_inv:1; const_ref:1; branch_target:1,1,1,1,2,6,,,,3
zombie/core/Collections/NonBlockingHashMap$3,remove,(Ljava/lang/Object;)Z,STRUCTURAL,15,14,15,1,opcode:5; var_slot:4; return_swap:2; goto_swap:2; branch_inv:1; recomp_extra:1,1,,,2,5,,1,2,4
zombie/core/Collections/NonBlockingHashMapLong$3,remove,(Ljava/lang/Object;)Z,STRUCTURAL,15,14,15,1,opcode:5; var_slot:4; return_swap:2; goto_swap:2; branch_inv:1; recomp_extra:1,1,,,2,5,,1,2,4
zombie/core/Collections/NonBlockingHashMapLong$SnapshotE,next,()Ljava/util/Map$Entry;,SORTED_MULTISET,15,16,17,1,opcode:5; const_ref:4; recomp_extra:3; var_slot:2; return_swap:1,,,4,,5,,3,1,2
zombie/core/Collections/NonBlockingHashtable$3,remove,(Ljava/lang/Object;)Z,STRUCTURAL,15,14,15,1,opcode:5; var_slot:4; return_swap:2; goto_swap:2; branch_inv:1; recomp_extra:1,1,,,2,5,,1,2,4
zombie/core/Collections/NonBlockingIdentityHashMap$3,remove,(Ljava/lang/Object;)Z,STRUCTURAL,15,14,15,1,opcode:5; var_slot:4; return_swap:2; goto_swap:2; branch_inv:1; recomp_extra:1,1,,,2,5,,1,2,4
zombie/iso/objects/IsoGenerator,addPoweredItem,(Lzombie/iso/IsoObject;F)V,STRUCTURAL,15,119,117,-2,opcode:7; var_slot:3; goto_swap:2; branch_inv:1; const_ref:1; branch_target:1,1,1,1,2,7,,,,3
zombie/network/GameServer,process,(Lzombie/network/ZomboidNetData;)V,STRUCTURAL,15,26,27,1,const_ref:13; goto_swap:1; recomp_extra:1,,,13,1,,,1,,
zombie/savefile/PlayerDB$PlayerData,setBytes,(Ljava/io/InputStream;)V,STRUCTURAL,15,28,28,0,var_slot:5; goto_swap:3; opcode:3; const_ref:2; branch_target:1; orig_extra:1,,1,2,3,3,1,,,5
zombie/vehicles/VehiclesDB2$VehicleBuffer,setBytes,(Ljava/io/InputStream;)V,STRUCTURAL,15,28,28,0,var_slot:5; goto_swap:3; opcode:3; const_ref:2; branch_target:1; orig_extra:1,,1,2,3,3,1,,,5
zombie/iso/areas/IsoBuilding,getFreeTile,()Lzombie/iso/IsoGridSquare;,SORTED_MULTISET,16,13,15,2,var_slot:6; opcode:6; recomp_extra:2; const_ref:1; return_swap:1,,,1,,6,,2,1,6
zombie/core/Collections/NonBlockingHashMapLong$SnapshotV,<init>,(Lzombie/core/Collections/NonBlockingHashMapLong;)V,STRUCTURAL,17,23,23,0,opcode:4; var_slot:4; const_ref:3; goto_swap:3; branch_target:1; return_swap:1; orig_extra:1,,1,3,3,4,1,,1,4
zombie/core/WinReqistry$StreamReader,run,()V,SORTED_MULTISET,17,13,15,2,opcode:7; var_slot:4; goto_swap:4; recomp_extra:2,,,,4,7,,2,,4
zombie/core/skinnedmodel/population/PopTemplateManager,isItemModelHidden,(Lzombie/characters/WornItems/BodyLocationGroup;Lzombie/core/skinnedmodel/visual/ItemVisuals;Lzombie/core/skinnedmodel/visual/ItemVisual;)Z,STRUCTURAL,17,46,45,-1,opcode:7; var_slot:6; goto_swap:3; const_ref:1,,,1,3,7,,,,6
zombie/modding/ActiveModsFile,write,(Ljava/lang/String;Lzombie/modding/ActiveMods;)Z,STRUCTURAL,17,60,58,-2,const_ref:9; return_swap:3; opcode:2; goto_swap:1; var_slot:1; orig_extra:1,,,9,1,2,1,,3,1
zombie/ui/TextBox,Paginate,()V,STRUCTURAL,17,90,90,0,var_slot:7; branch_target:4; goto_swap:4; opcode:2,,4,,4,2,,,,7
zombie/Lua/LuaManager$GlobalObject,getLatestSave,()Lse/krka/kahlua/vm/KahluaTable;,STRUCTURAL,18,48,46,-2,var_slot:10; return_swap:3; branch_target:2; const_ref:1; goto_swap:1; orig_extra:1,,2,1,1,,1,,3,10
zombie/core/Collections/NonBlockingHashMap$3,contains,(Ljava/lang/Object;)Z,STRUCTURAL,18,15,16,1,opcode:6; var_slot:6; return_swap:3; branch_inv:1; goto_swap:1; recomp_extra:1,1,,,1,6,,1,3,6
zombie/core/Collections/NonBlockingHashMapLong$3,contains,(Ljava/lang/Object;)Z,STRUCTURAL,18,15,16,1,opcode:6; var_slot:6; return_swap:3; branch_inv:1; goto_swap:1; recomp_extra:1,1,,,1,6,,1,3,6
zombie/core/Collections/NonBlockingHashtable$3,contains,(Ljava/lang/Object;)Z,STRUCTURAL,18,15,16,1,opcode:6; var_slot:6; return_swap:3; branch_inv:1; goto_swap:1; recomp_extra:1,1,,,1,6,,1,3,6
zombie/core/Collections/NonBlockingIdentityHashMap$3,contains,(Ljava/lang/Object;)Z,STRUCTURAL,18,15,16,1,opcode:6; var_slot:6; return_swap:3; branch_inv:1; goto_swap:1; recomp_extra:1,1,,,1,6,,1,3,6
zombie/core/ImmutableColor,HSBtoRGB,(FFF)[Ljava/lang/Integer;,SORTED_MULTISET,18,206,206,0,opcode:8; var_slot:7; orig_extra:2; return_swap:1,,,,,8,2,,1,7
zombie/iso/sprite/IsoSpriteInstance,get,(Lzombie/iso/sprite/IsoSprite;)Lzombie/iso/sprite/IsoSpriteInstance;,SORTED_MULTISET,18,21,20,-1,opcode:8; var_slot:4; goto_swap:3; branch_inv:1; return_swap:1; orig_extra:1,1,,,3,8,1,,1,4
zombie/network/BodyDamageSync,serverPacket,(Ljava/nio/ByteBuffer;)V,SORTED_MULTISET,18,120,121,1,branch_target:9; goto_swap:8; orig_extra:1,,9,,8,,1,,,
zombie/GameWindow,run_ez,()V,STRUCTURAL,19,57,57,0,const_ref:18; branch_target:1,,1,18,,,,,,
zombie/fileSystem/FileSystemImpl,hasWork,()Z,SORTED_MULTISET,19,36,32,-4,opcode:10; goto_swap:4; var_slot:3; branch_inv:1; return_swap:1,1,,,4,10,,,1,3
zombie/gameStates/ConnectToServerState$WorkshopItem,CheckItemState,()V,STRUCTURAL,19,130,130,0,branch_target:12; goto_swap:7,,12,,7,,,,,
zombie/iso/IsoMetaGrid,saveZone,(Ljava/nio/ByteBuffer;)V,SORTED_MULTISET,19,295,291,-4,const_ref:14; opcode:3; goto_swap:2,,,14,2,3,,,,
zombie/iso/TileOverlays,updateTileOverlaySprite,(Lzombie/iso/IsoObject;)V,SORTED_MULTISET,19,132,134,2,branch_target:16; goto_swap:1; opcode:1; var_slot:1,,16,,1,1,,,,1
zombie/ui/UITextBox2,onMouseDown,(DD)Ljava/lang/Boolean;,SORTED_MULTISET,19,201,200,-1,opcode:8; branch_target:3; return_swap:3; var_slot:3; goto_swap:1; orig_extra:1,,3,,1,8,1,,3,3
zombie/worldMap/WorldMapRenderer$Drawer,drawLineStringYYY,(Lzombie/worldMap/styles/WorldMapStyleLayer$RenderArgs;Lzombie/worldMap/WorldMapFeature;Lzombie/worldMap/styles/WorldMapStyleLayer$RGBAf;F)V,STRUCTURAL,19,136,135,-1,const_ref:13; goto_swap:3; branch_target:2; orig_extra:1,,2,13,3,,1,,,
zombie/audio/ObjectAmbientEmitters$WaterDripLogic,startPlaying,(Lzombie/audio/BaseSoundEmitter;J)V,STRUCTURAL,20,50,52,2,opcode:5; goto_swap:4; var_slot:4; recomp_extra:4; branch_target:2; return_swap:1,,2,,4,5,,4,1,4
zombie/iso/LightingThread,lambda$create$0,()V,SORTED_MULTISET,20,29,31,2,goto_swap:9; opcode:5; branch_target:2; branch_inv:2; var_slot:1; recomp_extra:1,2,2,,9,5,,1,,1
zombie/iso/objects/IsoWorldInventoryObject,updateSprite,()V,SORTED_MULTISET,20,94,96,2,opcode:11; var_slot:5; recomp_extra:2; branch_target:1; return_swap:1,,1,,,11,,2,1,5
zombie/core/skinnedmodel/HelperFunctions,getMatrix,()Lorg/lwjgl/util/vector/Matrix4f;,STRUCTURAL,21,27,25,-2,opcode:11; goto_swap:5; var_slot:2; branch_inv:1; return_swap:1; orig_extra:1,1,,,5,11,1,,1,2
