class,method,descriptor,tier,total_issues,orig_insns,recomp_insns,insn_diff,issue_breakdown,n_branch_inv,n_branch_target,n_const_ref,n_goto_swap,n_opcode,n_orig_extra,n_recomp_extra,n_return_swap,n_var_slot
zombie/core/skinnedmodel/ModelManager,getClosestThreeLights,(Lzombie/iso/IsoMovingObject;[Lzombie/iso/IsoLightSource;)V,STRUCTURAL,99,226,228,2,const_ref:95; branch_target:4,,4,95,,,,,,
zombie/ai/states/SwipeStatePlayer,DoSwingCollisionBoneCheck,(Lzombie/characters/IsoGameCharacter;Lzombie/inventory/types/HandWeapon;Lzombie/characters/IsoGameCharacter;IF)I,STRUCTURAL,100,102,100,-2,opcode:61; var_slot:27; const_ref:5; goto_swap:4; orig_extra:2; return_swap:1,,,5,4,61,2,,1,27
zombie/characters/BodyDamage/Fitness,update,()V,FUZZY_COMPUTATION,101,143,131,-12,opcode:42; var_slot:33; orig_extra:8; goto_swap:7; const_ref:5; branch_target:3; return_swap:3,,3,5,7,42,8,,3,33
zombie/ui/UIDebugConsole,ProcessCommand,()V,STRUCTURAL,101,103,102,-1,opcode:60; var_slot:29; goto_swap:6; return_swap:4; branch_target:1; recomp_extra:1,,1,,6,60,,1,4,29
zombie/audio/parameters/ParameterCurrentZone,calculateCurrentValue,()F,SORTED_MULTISET,103,116,125,9,opcode:51; goto_swap:21; var_slot:14; recomp_extra:11; const_ref:3; branch_target:2; return_swap:1,,2,3,21,51,,11,1,14
zombie/network/GameServer,receiveAddCoopPlayer,(Ljava/nio/ByteBuffer;Lzombie/core/raknet/UdpConnection;S)V,STRUCTURAL,103,310,311,1,const_ref:68; branch_target:25; goto_swap:9; recomp_extra:1,,25,68,9,,,1,,
zombie/chat/ChatManager,updateWhisperChat,()V,STRUCTURAL,104,108,108,0,opcode:52; var_slot:34; const_ref:8; goto_swap:7; orig_extra:2; return_swap:1,,,8,7,52,2,,1,34
zombie/network/GameClient,receiveSyncAlarmClock,(Ljava/nio/ByteBuffer;S)V,STRUCTURAL,105,179,178,-1,opcode:43; var_slot:38; goto_swap:18; const_ref:2; return_swap:2; branch_target:1; branch_inv:1,1,1,2,18,43,,,2,38
zombie/characters/IsoLivingCharacter,DoAttack,(F)Z,STRUCTURAL,106,321,321,0,opcode:52; branch_target:24; var_slot:22; const_ref:3; return_swap:2; goto_swap:2; branch_inv:1,1,24,3,2,52,,,2,22
zombie/iso/CellLoader,RecurseMultitileObjects,(Lzombie/iso/IsoCell;Lzombie/iso/IsoGridSquare;Lzombie/iso/IsoGridSquare;Ljava/util/ArrayList;)V,SORTED_MULTISET,106,161,160,-1,opcode:46; var_slot:35; const_ref:8; goto_swap:6; branch_target:4; recomp_extra:3; branch_inv:2; return_swap:2,2,4,8,6,46,,3,2,35
zombie/fileSystem/FileSystemImpl,updateAsyncTransactions,()V,SORTED_MULTISET,107,173,172,-1,opcode:54; var_slot:34; goto_swap:13; const_ref:3; branch_inv:1; branch_target:1; orig_extra:1,1,1,3,13,54,1,,,34
zombie/ai/states/SwipeStatePlayer,CalcHitListWeapon,(Lzombie/characters/IsoGameCharacter;ZLzombie/network/packets/hit/AttackVars;Ljava/util/ArrayList;)V,STRUCTURAL,108,226,225,-1,opcode:43; var_slot:35; branch_target:12; goto_swap:9; const_ref:4; return_swap:3; branch_inv:1; orig_extra:1,1,12,4,9,43,1,,3,35
zombie/randomizedWorld/randomizedVehicleStory/RVSAmbulanceCrash,spawnElement,(Lzombie/randomizedWorld/randomizedVehicleStory/VehicleStorySpawner;Lzombie/randomizedWorld/randomizedVehicleStory/VehicleStorySpawner$Element;)V,SORTED_MULTISET,108,112,111,-1,opcode:60; var_slot:33; goto_swap:9; const_ref:3; branch_target:1; return_swap:1; recomp_extra:1,,1,3,9,60,,1,1,33
zombie/debug/DebugLogStream,printException,(Ljava/lang/Throwable;Ljava/lang/String;Ljava/lang/String;Lzombie/debug/LogSeverity;)V,SORTED_MULTISET,109,101,105,4,opcode:60; var_slot:34; goto_swap:7; recomp_extra:4; const_ref:2; branch_target:1; return_swap:1,,1,2,7,60,,4,1,34
zombie/commands/serverCommands/StatisticsCommand,Command,()Ljava/lang/String;,SORTED_MULTISET,110,110,116,6,opcode:53; var_slot:32; goto_swap:16; return_swap:5; recomp_extra:4,,,,16,53,,4,5,32
zombie/SandboxOptions,writeLuaFile,(Ljava/lang/String;Z)Z,STRUCTURAL,112,266,264,-2,const_ref:104; return_swap:3; opcode:2; goto_swap:1; var_slot:1; orig_extra:1,,,104,1,2,1,,3,1
zombie/core/textures/MultiTextureFBO2,update,()V,SORTED_MULTISET,112,220,222,2,opcode:58; var_slot:31; const_ref:17; recomp_extra:4; branch_target:1; return_swap:1,,1,17,,58,,4,1,31
zombie/iso/areas/isoregion/IsoRegionWorker,thread_main_loop,()V,STRUCTURAL,112,148,149,1,opcode:64; var_slot:29; goto_swap:10; branch_target:6; const_ref:2; branch_inv:1,1,6,2,10,64,,,,29
zombie/iso/objects/IsoWindow,addSheet,(Lzombie/characters/IsoGameCharacter;)V,STRUCTURAL,113,177,176,-1,const_ref:90; branch_target:16; var_slot:6; orig_extra:1,,16,90,,,1,,,6
zombie/core/skinnedmodel/advancedanimation/AnimLayer,updateNewNodeTransitionsInternal,()V,STRUCTURAL,114,127,126,-1,opcode:50; var_slot:39; const_ref:12; goto_swap:9; branch_target:2; branch_inv:1; orig_extra:1,1,2,12,9,50,1,,,39
zombie/network/GameServer,receiveRequestItemsForContainer,(Ljava/nio/ByteBuffer;Lzombie/core/raknet/UdpConnection;S)V,SORTED_MULTISET,118,267,268,1,const_ref:98; opcode:8; var_slot:8; branch_target:3; goto_swap:1,,3,98,1,8,,,,8
zombie/vehicles/UI3DScene,fromLua9,(Ljava/lang/String;Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;)Ljava/lang/Object;,STRUCTURAL,119,97,95,-2,opcode:70; var_slot:38; const_ref:7; return_swap:2; orig_extra:2,,,7,,70,2,,2,38
zombie/iso/objects/ObjectRenderEffects,getNew,(Lzombie/iso/IsoObject;Lzombie/iso/objects/RenderEffectType;ZZ)Lzombie/iso/objects/ObjectRenderEffects;,STRUCTURAL,120,123,123,0,opcode:67; var_slot:29; goto_swap:9; return_swap:5; const_ref:5; branch_target:3; branch_inv:1; orig_extra:1,1,3,5,9,67,1,,5,29
zombie/popman/MPDebugInfo,serverPacket,(Ljava/nio/ByteBuffer;Lzombie/core/raknet/UdpConnection;)V,STRUCTURAL,122,276,275,-1,const_ref:104; branch_target:13; goto_swap:4; orig_extra:1,,13,104,4,,1,,,
zombie/vehicles/VehiclesDB2,importPlayersFromOldDB,(Lzombie/vehicles/VehiclesDB2$IImportPlayerFromOldDB;)V,SORTED_MULTISET,123,141,142,1,var_slot:48; opcode:45; goto_swap:14; branch_target:7; const_ref:4; return_swap:3; branch_inv:1; recomp_extra:1,1,7,4,14,45,,1,3,48
zombie/iso/objects/IsoTelevision,isFacing,(Lzombie/characters/IsoPlayer;)Z,STRUCTURAL,125,143,143,0,opcode:76; var_slot:22; return_swap:14; goto_swap:8; const_ref:4; branch_inv:1,1,,4,8,76,,,14,22
zombie/core/utils/FibonacciHeap,dequeueMin,()Lzombie/core/utils/FibonacciHeap$Entry;,SORTED_MULTISET,127,211,210,-1,opcode:61; var_slot:42; goto_swap:13; const_ref:8; branch_target:1; return_swap:1; recomp_extra:1,,1,8,13,61,,1,1,42
zombie/worldMap/StrokeGeometry,createTriangles,(Lzombie/worldMap/StrokeGeometry$Point;Lzombie/worldMap/StrokeGeometry$Point;Lzombie/worldMap/StrokeGeometry$Point;Ljava/util/ArrayList;FLjava/lang/String;F)V,STRUCTURAL,127,426,424,-2,opcode:60; var_slot:58; branch_target:2; const_ref:2; goto_swap:2; orig_extra:2; return_swap:1,,2,2,2,60,2,,1,58
zombie/characters/IsoPlayer,getTimeSurvived,()Ljava/lang/String;,SORTED_MULTISET,128,120,118,-2,opcode:65; var_slot:59; orig_extra:2; const_ref:1; return_swap:1,,,1,,65,2,,1,59
zombie/core/skinnedmodel/animation/AnimationPlayer,updateLayerBlendWeightings,()V,SORTED_MULTISET,128,295,297,2,opcode:57; var_slot:30; const_ref:25; goto_swap:8; return_swap:3; recomp_extra:3; branch_target:1; branch_inv:1,1,1,25,8,57,,3,3,30
zombie/network/ServerGUI,updateCamera,(Lzombie/characters/IsoPlayer;)V,STRUCTURAL,129,125,123,-2,opcode:67; var_slot:53; const_ref:4; goto_swap:2; orig_extra:2; return_swap:1,,,4,2,67,2,,1,53
zombie/gameStates/ChooseGameInfo,getMapDetails,(Ljava/lang/String;)Lzombie/gameStates/ChooseGameInfo$Map;,SORTED_MULTISET,130,172,174,2,opcode:68; var_slot:37; goto_swap:14; const_ref:6; return_swap:3; recomp_extra:2,,,6,14,68,,2,3,37
zombie/core/skinnedmodel/DeadBodyAtlas,toBodyAtlas,(Lzombie/core/skinnedmodel/DeadBodyAtlas$RenderJob;)V,SORTED_MULTISET,133,279,281,2,const_ref:113; opcode:12; goto_swap:4; branch_target:2; branch_inv:2,2,2,113,4,12,,,,
zombie/iso/IsoGridSquare,drawCircleExplosion,(ILzombie/iso/objects/IsoTrap;Lzombie/iso/objects/IsoTrap$ExplosionMode;)V,STRUCTURAL,133,179,178,-1,opcode:62; var_slot:32; const_ref:24; goto_swap:9; branch_target:4; branch_inv:1; orig_extra:1,1,4,24,9,62,1,,,32
zombie/erosion/categories/NaturePlants,replaceExistingObject,(Lzombie/iso/IsoGridSquare;Lzombie/erosion/ErosionData$Square;Lzombie/erosion/ErosionData$Chunk;ZZ)Z,STRUCTURAL,137,199,200,1,opcode:70; var_slot:42; const_ref:7; goto_swap:7; return_swap:5; branch_target:4; branch_inv:1; recomp_extra:1,1,4,7,7,70,,1,5,42
zombie/iso/objects/IsoTree,renderInner,(FFFLzombie/core/textures/ColorInfo;ZZ)V,SORTED_MULTISET,140,170,171,1,opcode:60; var_slot:51; const_ref:16; goto_swap:7; branch_target:4; branch_inv:1; recomp_extra:1,1,4,16,7,60,,1,,51
zombie/characters/ClothingWetness,increaseWetness,(F)V,SORTED_MULTISET,141,181,186,5,opcode:71; var_slot:47; goto_swap:13; recomp_extra:5; const_ref:3; branch_target:1; return_swap:1,,1,3,13,71,,5,1,47
zombie/core/textures/TextureCombiner,combine,(Ljava/util/ArrayList;)Lzombie/core/textures/Texture;,SORTED_MULTISET,141,375,377,2,const_ref:137; opcode:4,,,137,,4,,,,
zombie/vehicles/BaseVehicle,canAttachTrailer,(Lzombie/vehicles/BaseVehicle;Ljava/lang/String;Ljava/lang/String;Z)Z,STRUCTURAL,141,135,135,0,opcode:66; var_slot:47; return_swap:10; const_ref:8; goto_swap:8; orig_extra:2,,,8,8,66,2,,10,47
zombie/WorldSoundManager,addSound,(Ljava/lang/Object;IIIIIZFFZZZ)Lzombie/WorldSoundManager$WorldSound;,SORTED_MULTISET,143,143,145,2,opcode:68; var_slot:52; const_ref:11; goto_swap:6; recomp_extra:3; branch_target:2; return_swap:1,,2,11,6,68,,3,1,52
zombie/erosion/ErosionMain,initConfig,()Z,STRUCTURAL,143,217,216,-1,const_ref:67; opcode:56; var_slot:13; goto_swap:3; branch_target:2; return_swap:1; orig_extra:1,,2,67,3,56,1,,1,13
zombie/iso/IsoCell,IsCollapsibleBuildingSquare,(Lzombie/iso/IsoGridSquare;)Z,SORTED_MULTISET,143,155,151,-4,opcode:57; var_slot:48; goto_swap:16; return_swap:12; const_ref:4; orig_extra:3; branch_target:2; branch_inv:1,1,2,4,16,57,3,,12,48
zombie/randomizedWorld/randomizedVehicleStory/RVSTrailerCrash,spawnElement,(Lzombie/randomizedWorld/randomizedVehicleStory/VehicleStorySpawner;Lzombie/randomizedWorld/randomizedVehicleStory/VehicleStorySpawner$Element;)V,STRUCTURAL,145,146,145,-1,opcode:78; var_slot:48; goto_swap:13; const_ref:4; return_swap:1; recomp_extra:1,,,4,13,78,,1,1,48
zombie/core/textures/Pcx,loadPCXpal,(Ljava/lang/String;)I,STRUCTURAL,146,156,152,-4,opcode:70; var_slot:49; const_ref:9; return_swap:9; orig_extra:4; branch_target:3; goto_swap:2,,3,9,2,70,4,,9,49
zombie/vehicles/PolygonalMap2$ConnectedRegions,floodFill,(II)V,SORTED_MULTISET,146,251,252,1,opcode:58; var_slot:41; const_ref:27; goto_swap:10; return_swap:9; branch_inv:1,1,,27,10,58,,,9,41
zombie/worldMap/ImagePyramid,readInfoFile,()V,SORTED_MULTISET,146,141,145,4,opcode:70; var_slot:45; goto_swap:23; const_ref:3; branch_target:2; recomp_extra:2; return_swap:1,,2,3,23,70,,2,1,45
zombie/core/textures/TextureFBO,initInternal,(Lzombie/interfaces/ITexture;Z)V,SORTED_MULTISET,148,391,393,2,const_ref:144; opcode:4,,,144,,4,,,,
zombie/randomizedWorld/randomizedVehicleStory/RVSBanditRoad,spawnElement,(Lzombie/randomizedWorld/randomizedVehicleStory/VehicleStorySpawner;Lzombie/randomizedWorld/randomizedVehicleStory/VehicleStorySpawner$Element;)V,STRUCTURAL,151,152,151,-1,opcode:78; var_slot:46; goto_swap:15; const_ref:10; return_swap:1; recomp_extra:1,,,10,15,78,,1,1,46
zombie/ui/UIDebugConsole,update,()V,STRUCTURAL,152,254,255,1,opcode:60; const_ref:44; var_slot:28; branch_target:11; goto_swap:7; return_swap:1; recomp_extra:1,,11,44,7,60,,1,1,28
zombie/radio/ZomboidRadio,Load,()Z,SORTED_MULTISET,153,153,161,8,opcode:61; var_slot:38; const_ref:26; goto_swap:16; recomp_extra:6; return_swap:5; branch_target:1,,1,26,16,61,,6,5,38
zombie/core/skinnedmodel/model/VertexBufferObject,Draw,(Lzombie/core/skinnedmodel/model/VertexBufferObject$Vbo;Lzombie/core/skinnedmodel/model/VertexBufferObject$VertexFormat;Lzombie/core/skinnedmodel/shader/Shader;I)V,STRUCTURAL,154,146,145,-1,opcode:84; var_slot:43; goto_swap:13; const_ref:9; return_swap:2; orig_extra:2; branch_inv:1,1,,9,13,84,2,,2,43
zombie/Lua/LuaManager,RunLuaInternal,(Ljava/lang/String;Z)Ljava/lang/Object;,STRUCTURAL,155,172,170,-2,opcode:91; var_slot:37; goto_swap:12; const_ref:8; return_swap:5; orig_extra:2,,,8,12,91,2,,5,37
zombie/iso/IsoMetaGrid,load,(Ljava/nio/ByteBuffer;)V,STRUCTURAL,157,606,607,1,branch_target:97; var_slot:35; const_ref:14; opcode:6; goto_swap:5,,97,14,5,6,,,,35
zombie/core/Translator,parseFile,(Ljava/io/File;Ljava/util/HashMap;Lzombie/core/Language;)V,SORTED_MULTISET,159,424,421,-3,var_slot:50; opcode:47; branch_target:31; const_ref:24; goto_swap:6; branch_inv:1,1,31,24,6,47,,,,50
zombie/network/GameServer,receiveSyncAlarmClock,(Ljava/nio/ByteBuffer;Lzombie/core/raknet/UdpConnection;S)V,STRUCTURAL,160,201,200,-1,opcode:58; var_slot:50; const_ref:30; goto_swap:19; branch_target:1; branch_inv:1; return_swap:1,1,1,30,19,58,,,1,50
zombie/randomizedWorld/randomizedVehicleStory/RVSFlippedCrash,spawnElement,(Lzombie/randomizedWorld/randomizedVehicleStory/VehicleStorySpawner;Lzombie/randomizedWorld/randomizedVehicleStory/VehicleStorySpawner$Element;)V,STRUCTURAL,161,161,160,-1,opcode:93; var_slot:46; goto_swap:17; const_ref:4; recomp_extra:1,,,4,17,93,,1,,46
zombie/core/skinnedmodel/advancedanimation/AnimatedModel,setModelData,(Lzombie/core/skinnedmodel/visual/HumanVisual;Lzombie/core/skinnedmodel/visual/ItemVisuals;)V,SORTED_MULTISET,163,210,213,3,const_ref:56; opcode:54; var_slot:32; branch_target:11; goto_swap:7; branch_inv:1; return_swap:1; recomp_extra:1,1,11,56,7,54,,1,1,32
zombie/savefile/ServerPlayerDB,serverUpdateNetworkCharacterInt,(Lzombie/savefile/ServerPlayerDB$NetworkCharacterData;)V,SORTED_MULTISET,163,233,233,0,opcode:52; var_slot:50; const_ref:43; goto_swap:13; return_swap:3; branch_target:2,,2,43,13,52,,,3,50
zombie/iso/IsoMetaGrid,registerGeometryZone,(Ljava/lang/String;Ljava/lang/String;ILjava/lang/String;Lse/krka/kahlua/vm/KahluaTable;Lse/krka/kahlua/vm/KahluaTable;)Lzombie/iso/IsoMetaGrid$Zone;,SORTED_MULTISET,167,215,221,6,opcode:76; var_slot:58; goto_swap:16; const_ref:8; recomp_extra:6; return_swap:3,,,8,16,76,,6,3,58
zombie/network/GameClient,SendCommandToServer,(Ljava/lang/String;)V,STRUCTURAL,167,170,170,0,opcode:108; var_slot:26; goto_swap:13; const_ref:9; return_swap:8; branch_target:1; branch_inv:1; recomp_extra:1,1,1,9,13,108,,1,8,26
zombie/randomizedWorld/randomizedVehicleStory/RVSCrashHorde,spawnElement,(Lzombie/randomizedWorld/randomizedVehicleStory/VehicleStorySpawner;Lzombie/randomizedWorld/randomizedVehicleStory/VehicleStorySpawner$Element;)V,STRUCTURAL,170,170,169,-1,opcode:99; var_slot:48; goto_swap:17; const_ref:4; return_swap:1; recomp_extra:1,,,4,17,99,,1,1,48
zombie/vehicles/BaseVehicle,addPointConstraint,(Lzombie/characters/IsoPlayer;Lzombie/vehicles/BaseVehicle;Ljava/lang/String;Ljava/lang/String;Ljava/lang/Boolean;)V,STRUCTURAL,170,189,189,0,opcode:75; var_slot:60; const_ref:27; goto_swap:3; return_swap:2; orig_extra:2; branch_target:1,,1,27,3,75,2,,2,60
zombie/network/GameClient,receiveItemStats,(Ljava/nio/ByteBuffer;S)V,STRUCTURAL,175,163,164,1,var_slot:69; opcode:61; goto_swap:32; const_ref:5; branch_target:3; orig_extra:3; branch_inv:1; return_swap:1,1,3,5,32,61,3,,1,69
